id,retweet_count,favorite_count
892420643555336193,6973,33703
892177421306343426,5276,29229
891815181378084864,3465,21976
891689557279858688,7193,36799
891327558926688256,7719,35186
891087950875897856,2587,17753
890971913173991426,1648,10334
890729181411237888,15685,56678
890609185150312448,3605,24434
890240255349198849,6074,27854
890006608113172480,6114,26952
889880896479866881,4142,24487
889665388333682689,8305,41884
889638837579907072,3700,23584
889531135344209921,1874,13314
889278841981685760,4421,22032
888917238123831296,3744,25530
888804989199671297,3516,22396
888554962724278272,2864,17253
888078434458587136,2885,19104
887705289381826560,4519,26535
887517139158093824,9812,40590
887473957103951883,14954,59982
887343217045368832,8777,29496
887101392804085760,4971,26895
886983233522544640,6289,30245
886736880519319552,2617,10453
886680336477933568,3722,19658
886366144734445568,2613,18490
886267009285017600,4,105
886258384151887873,5256,24446
886054160059072513,93,0
885984800019947520,5590,28507
885528943205470208,5307,31488
885518971528720385,3100,17942
885311592912609280,15375,0
885167619883638784,3654,19190
884925521741709313,14946,67039
884876753390489601,4639,24303
884562892145688576,3896,21246
884441805382717440,4778,23784
884247878851493888,16829,63035
884162670584377345,2493,17890
883838122936631299,2849,19094
883482846933004288,8227,40054
883360690899218434,3061,19880
883117836046086144,5512,32387
882992080364220416,3230,20922
882762694511734784,4078,24698
882627270321602560,5045,24530
882268110199369728,9586,39052
882045870035918850,4067,25623
881906580714921986,2841,21376
881666595344535552,8915,44408
881633300179243008,8,113
881536004380872706,13353,43298
881268444196462592,4484,20436
880935762899988482,2325,14999
880872448815771648,3192,18660
880465832366813184,5194,24932
880221127280381952,3449,23583
880095782870896641,3636,24241
879862464715927552,2915,19638
879674319642796034,9,282
879492040517615616,2619,20651
879415818425184262,37274,92524
879376492567855104,2635,14808
879130579576475649,5713,0
879050749262655488,3936,19747
879008229531029506,2231,16725
878776093423087618,3420,17085
878604707211726852,5899,26360
878404777348136964,1071,0
878316110768087041,5501,0
878281511006478336,1071,6758
878057613040115712,5713,37031
877736472329191424,15738,69060
877611172832227328,70,0
877556246731214848,3153,19842
877316821321428993,4322,24073
877201837425926144,4604,23781
876838120628539392,2795,18170
876537666061221889,3962,20994
876484053909872640,1990,16514
876120275196170240,3891,24614
875747767867523072,3569,22040
875144289856114688,4133,19371
875097192612077568,5095,24173
875021211251597312,3954,22491
874680097055178752,3908,24523
874434818259525634,12163,0
874296783580663808,3471,22892
874057562936811520,3368,20056
874012996292530176,8553,30032
873580283840344065,3333,21316
873337748698140672,1327,0
873213775632977920,1327,6301
872967104147763200,4545,23981
872820683541237760,3158,13035
872620804844003328,3057,18276
872486979161796608,7686,35999
872122724285648897,6806,30111
871879754684805121,9212,32978
871762521631449091,2958,17820
871515927908634625,2926,17847
871166179821445120,4880,0
871102520638267392,4658,18492
871032628920680449,3213,20101
870804317367881728,5265,29709
870726314365509632,3,105
870656317836468226,2190,10858
870374049280663552,22661,73733
870308999962521604,3535,19428
870063196459192321,7052,32319
869772420881756160,8662,37903
869702957897576449,5365,24966
869596645499047938,2629,14151
869227993411051520,3191,18088
868880397819494401,12203,57762
868639477480148993,1744,0
868622495443632128,4447,23578
868552278524837888,1744,8938
867900495410671616,3554,21530
867774946302451713,6228,30173
867421006826221569,2109,14301
867072653475098625,100,0
867051520902168576,6755,28613
866720684873056260,4120,17811
866686824827068416,2954,17076
866450705531457537,30066,108536
866334964761202691,12163,46441
866094527597207552,7137,0
